year,city,pop,lat,lon
1970,New York city,7894862,40.7128,-74.0059
1970,Los Angeles,2816061,34.0522,-118.2437
1970,Chicago,3366957,41.8781,-87.6298
1970,Houston,1232802,29.7604,-95.3698
1970,Philadelphia,1948609,39.9526,-75.1652
1970,San Diego,696769,32.715738,-117.1610838
1970,Detroit,1511482,42.3314,-83.0458
1970,Dallas,844401,32.7766642,-96.7969879
1970,Phoenix,581562,33.4483771,-112.0740373
1970,San Antonio,654153,29.4241219,-98.4936282
1970,San Jose,445779,37.3382082,-121.8863286
1970,Baltimore,905759,39.2903848,-76.6121893
1970,Indianapolis,744624,39.768403,-86.158068
1970,San Francisco,715674,37.7749295,-122.4194155
1970,Jacksonville,528865,30.3321838,-81.655651
1970,Columbus,539677,39.9611755,-82.9987942
1970,Milwaukee,717099,43.0389025,-87.9064736
1970,Memphis,623530,35.1495343,-90.0489801
1970,Washington DC,756510,38.9071923,-77.0368707
1970,Boston,641071,42.3600825,-71.0588801
