year,city,pop,lat,lon
1990,New York city,7322564,40.7128,-74.0059
1990,Los Angeles,3485398,34.0522,-118.2437
1990,Chicago,2783726,41.8781,-87.6298
1990,Houston,1630553,29.7604,-95.3698
1990,Philadelphia,1585577,39.9526,-75.1652
1990,San Diego,1110549,32.715738,-117.161084
1990,Detroit,1027974,42.3314,-83.0458
1990,Dallas,1006877,32.7766642,-96.796988
1990,Phoenix,983403,33.4483771,-112.074037
1990,San Antonio,935933,29.4241219,-98.493628
1990,San Jose,782248,37.3382082,-121.886329
1990,Baltimore,736014,39.2903848,-76.612189
1990,Indianapolis,731327,39.768403,-86.158068
1990,San Francisco,723959,37.7749295,-122.419416
1990,Jacksonville,635230,30.3321838,-81.655651
1990,Columbus,632910,39.9611755,-82.998794
1990,Milwaukee,628088,43.0389025,-87.906474
1990,Memphis,610337,35.1495343,-90.04898
1990,Washington DC,606900,38.9071923,-77.036871
1990,Boston,574283,42.3600825,-71.05888
